name	url
89.9 KCRW Music - Eclectic24 - Santa Monica	http://media.kcrw.com/live/kcrwmusic.pls
Jazz 24	http://prod-3-82-192-167.wostreaming.net/ppm-jazz24aac-hlsc1.m3u8
88.5 XPN - Philadelphia	http://wxpnhi.streamguys.com
Folk Alley - WXPN - Philadelphia	http://xpn-web.streamguys.com/xpn-sc-fa128.m3u
NPR	http://www.npr.org/streams/mp3/nprlive24.pls
89.9 KCRW - Santa Monica	http://media.kcrw.com/live/kcrwlive.pls
89.7 WGBH - Boston	http://streams.wgbh.org/wgbh.pls
88.5 WFCR - Western Mass	http://www.publicbroadcasting.net/wfcr/ppr/wfcr.pls
Radio Caroline	http://sc3.radiocaroline.net:8030/listen.pls
90.3 KEXP - Seattle	https://live-mp3-128.streamguys1.com:8000/listen.pls
88.9 WERS - Emerson	http://www.wers.org/wers.pls
XPoNential Radio - 88.5 XPN - Philadelphia	http://xpohi.streamguys.net/listen.pls
88.5 KPLU	http://icy1.abacast.com/kplu-newsjazzaac-64.m3u
94.9 KUOW	http://kuow.streamguys1.com/kuow1-hi.mp3
Remote from plink	http://plink.local:3689/stream.mp3
